epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1928.83,0.99026,0.93262,1.30485,0.85883,0.87658,0.92705,0.70108,0.84926,0.71163,1.39602,0.00113898,0.00113898,0.00113898
43,1974.1,0.98475,0.93484,1.30416,0.86634,0.90261,0.9268,0.69901,0.83958,0.65071,1.38494,0.00113191,0.00113191,0.00113191
44,2019.73,0.98654,0.91942,1.30284,0.83776,0.91228,0.93638,0.71319,0.81899,0.66958,1.38074,0.00112484,0.00112484,0.00112484
45,2065.33,0.95612,0.9002,1.28079,0.84616,0.90339,0.92707,0.7142,0.79672,0.64721,1.35447,0.00111776,0.00111776,0.00111776
46,2111.16,0.96365,0.88701,1.29054,0.83575,0.91922,0.93318,0.71705,0.81428,0.66568,1.3523,0.00111069,0.00111069,0.00111069
47,2156.58,0.95379,0.88633,1.27773,0.7753,0.8943,0.90513,0.69456,0.83229,0.7305,1.3687,0.00110362,0.00110362,0.00110362
48,2202.71,0.96462,0.88512,1.28842,0.79969,0.87902,0.89582,0.68697,0.82622,0.76002,1.38884,0.00109654,0.00109654,0.00109654
49,2248.35,0.96755,0.88819,1.29684,0.87152,0.91063,0.93358,0.71792,0.80246,0.67532,1.37267,0.00108947,0.00108947,0.00108947
50,2293.92,0.98999,0.92074,1.30309,0.82075,0.83795,0.91672,0.69692,0.83676,0.79311,1.37139,0.0010824,0.0010824,0.0010824
51,2339.71,0.9522,0.86002,1.27481,0.84,0.88532,0.9431,0.73842,0.78537,0.66307,1.34415,0.00107532,0.00107532,0.00107532
52,2385.07,0.94812,0.8783,1.28038,0.85881,0.90206,0.92239,0.72563,0.77499,0.674,1.31935,0.00106825,0.00106825,0.00106825
53,2430.98,0.93633,0.87879,1.26963,0.83657,0.90987,0.92352,0.72191,0.76368,0.63554,1.3276,0.00106118,0.00106118,0.00106118
54,2476.71,0.93836,0.86316,1.27071,0.86453,0.91331,0.92494,0.72938,0.78267,0.59973,1.33077,0.0010541,0.0010541,0.0010541
55,2521.57,0.9388,0.85985,1.27752,0.8191,0.89007,0.89284,0.69803,0.77451,0.77003,1.32826,0.00104703,0.00104703,0.00104703
56,2566.4,0.94594,0.85037,1.27124,0.79203,0.89159,0.89674,0.69405,0.79393,0.7807,1.34945,0.00103995,0.00103995,0.00103995
57,2611.74,0.91665,0.84153,1.25787,0.8381,0.8915,0.90825,0.71963,0.74706,0.6523,1.30669,0.00103288,0.00103288,0.00103288
58,2657.85,0.91787,0.85923,1.26431,0.83163,0.90531,0.91373,0.70942,0.79516,0.69001,1.36601,0.00102581,0.00102581,0.00102581
59,2703.37,0.90487,0.8347,1.25152,0.788,0.86948,0.89116,0.68571,0.77539,0.73078,1.32317,0.00101873,0.00101873,0.00101873
60,2748.61,0.91324,0.8271,1.25306,0.80047,0.84382,0.90683,0.71489,0.77316,0.70557,1.32299,0.00101166,0.00101166,0.00101166
61,2793.95,0.91721,0.82455,1.25158,0.82588,0.90049,0.91861,0.70868,0.77814,0.64637,1.33273,0.00100459,0.00100459,0.00100459
62,2839.36,0.90909,0.81761,1.25573,0.87174,0.88711,0.93372,0.73754,0.76249,0.59015,1.31445,0.000997513,0.000997513,0.000997513
63,2884.9,0.87937,0.78873,1.22749,0.83643,0.87832,0.9124,0.70673,0.76299,0.66454,1.349,0.00099044,0.00099044,0.00099044
64,2930.17,0.9032,0.80273,1.25285,0.86894,0.89401,0.94372,0.74095,0.77916,0.62453,1.34588,0.000983366,0.000983366,0.000983366
65,2976.24,0.88803,0.80744,1.24072,0.89138,0.90817,0.94505,0.75205,0.74675,0.56819,1.32339,0.000976293,0.000976293,0.000976293
66,3020.97,0.91004,0.81545,1.25233,0.85914,0.87273,0.92026,0.72956,0.75586,0.60344,1.30666,0.000969219,0.000969219,0.000969219
67,3066.39,0.88926,0.7847,1.24032,0.83139,0.86745,0.92522,0.7258,0.81457,0.6948,1.35716,0.000962146,0.000962146,0.000962146
68,3111.91,0.90299,0.80407,1.24701,0.85395,0.90184,0.92952,0.74187,0.74699,0.60688,1.30038,0.000955072,0.000955072,0.000955072
69,3158.01,0.90203,0.79855,1.2497,0.87889,0.87334,0.92058,0.72979,0.75449,0.661,1.31797,0.000947999,0.000947999,0.000947999
70,3203.93,0.88083,0.7717,1.2288,0.87038,0.88583,0.92471,0.73185,0.75073,0.62127,1.31186,0.000940925,0.000940925,0.000940925
71,3249.47,0.87665,0.78212,1.23318,0.82867,0.89672,0.91679,0.72986,0.72976,0.64509,1.29261,0.000933851,0.000933851,0.000933851
72,3294.8,0.8606,0.76512,1.22583,0.82149,0.86033,0.91498,0.72952,0.75032,0.6655,1.30738,0.000926778,0.000926778,0.000926778
73,3340.73,0.86909,0.7764,1.22796,0.79605,0.87189,0.91144,0.71084,0.74725,0.76542,1.29901,0.000919704,0.000919704,0.000919704
74,3385.82,0.86205,0.76651,1.21956,0.84545,0.90931,0.92128,0.73566,0.74234,0.62445,1.30819,0.000912631,0.000912631,0.000912631
75,3431.57,0.84825,0.74844,1.20917,0.84521,0.9201,0.93271,0.73678,0.7557,0.58795,1.30806,0.000905557,0.000905557,0.000905557
76,3476.52,0.85553,0.76151,1.22024,0.89795,0.8688,0.93333,0.73133,0.75529,0.61903,1.31721,0.000898484,0.000898484,0.000898484
